citizenid,number_of_open_accounts,number_of_closed_accounts,total_loan_months,delinquent_months,total_dpd,enquiry_count,credit_utilization_ratio
99610,5.0,2.0,28.0,1.0,6.0,1.0,24.38
22456,3.0,1.0,41.0,0.0,15.0,1.0,27.14
63403,4.0,2.0,57.0,0.0,7.0,1.0,34.02
72905,5.0,3.0,57.0,0.0,27.0,0.0,43.12
76339,10.0,2.0,83.0,10.0,170.0,4.0,80.74
11966,5.0,1.0,66.0,0.0,5.0,0.0,15.12
98332,3.0,3.0,40.0,0.0,28.0,2.0,11.25
18341,2.0,3.0,23.0,1.0,26.0,1.0,11.3
90680,7.0,7.0,167.0,9.0,212.0,4.0,98.67
16606,5.0,3.0,16.0,1.0,29.0,2.0,21.48
33822,2.0,3.0,27.0,1.0,8.0,2.0,12.05
78966,5.0,1.0,13.0,0.0,25.0,0.0,25.31
65136,2.0,1.0,39.0,0.0,21.0,2.0,44.73
49375,7.0,6.0,78.0,8.0,342.0,8.0,94.7
70239,4.0,2.0,46.0,0.0,16.0,2.0,37.2
73325,4.0,3.0,78.0,1.0,29.0,0.0,45.05
39660,3.0,2.0,20.0,0.0,5.0,1.0,40.44
30475,4.0,2.0,67.0,1.0,28.0,1.0,47.37
57943,3.0,1.0,35.0,1.0,22.0,2.0,21.25
96435,2.0,1.0,78.0,0.0,8.0,2.0,40.13
92392,5.0,2.0,72.0,0.0,2.0,1.0,48.11
28093,2.0,2.0,56.0,1.0,16.0,2.0,43.74
44534,2.0,1.0,66.0,1.0,4.0,0.0,38.79
34954,5.0,1.0,54.0,1.0,19.0,1.0,27.71
20365,3.0,3.0,43.0,1.0,13.0,0.0,16.14
50550,3.0,1.0,61.0,0.0,28.0,2.0,18.27
21746,2.0,1.0,82.0,1.0,18.0,2.0,47.09
73096,3.0,2.0,82.0,1.0,12.0,2.0,17.41
36135,5.0,2.0,74.0,1.0,3.0,1.0,33.82
71241,2.0,1.0,74.0,1.0,0.0,2.0,45.74
82481,4.0,2.0,58.0,0.0,27.0,2.0,32.13
24664,2.0,1.0,13.0,0.0,29.0,0.0,41.35
23943,3.0,2.0,20.0,0.0,29.0,2.0,48.21
15711,5.0,2.0,78.0,0.0,0.0,1.0,34.18
60980,4.0,3.0,76.0,1.0,15.0,2.0,12.96
37753,3.0,3.0,68.0,1.0,2.0,0.0,12.07
14199,5.0,2.0,19.0,0.0,24.0,1.0,23.82
77898,4.0,1.0,71.0,1.0,3.0,1.0,32.14
82360,5.0,3.0,56.0,0.0,29.0,2.0,35.96
33561,2.0,1.0,56.0,1.0,0.0,0.0,39.22
34724,2.0,1.0,63.0,0.0,29.0,1.0,24.78
39261,3.0,2.0,13.0,1.0,19.0,1.0,46.88
19146,5.0,1.0,18.0,1.0,2.0,1.0,17.16
71712,2.0,1.0,58.0,0.0,8.0,1.0,48.89
36217,5.0,2.0,30.0,1.0,23.0,1.0,46.28
36969,3.0,2.0,18.0,1.0,6.0,1.0,44.06
50859,3.0,3.0,24.0,1.0,25.0,2.0,16.46
43480,5.0,2.0,20.0,1.0,11.0,2.0,24.19
34199,2.0,3.0,31.0,0.0,4.0,0.0,43.15
97038,4.0,2.0,17.0,0.0,2.0,1.0,36.62
24943,4.0,3.0,35.0,1.0,17.0,0.0,14.98
38112,3.0,3.0,32.0,1.0,4.0,2.0,31.99
97810,5.0,2.0,60.0,1.0,24.0,0.0,19.85
70756,2.0,2.0,61.0,1.0,19.0,2.0,43.33
71935,5.0,2.0,12.0,0.0,17.0,1.0,21.18
14645,4.0,1.0,30.0,0.0,16.0,2.0,17.17
21436,3.0,2.0,79.0,0.0,8.0,0.0,33.3
21863,5.0,1.0,28.0,0.0,10.0,2.0,26.15
74737,2.0,1.0,24.0,0.0,23.0,2.0,29.44
99303,4.0,1.0,49.0,0.0,18.0,2.0,40.38
57228,3.0,1.0,14.0,0.0,8.0,1.0,49.08
66380,4.0,3.0,41.0,0.0,6.0,1.0,41.43
47657,4.0,2.0,44.0,1.0,10.0,2.0,42.61
44516,4.0,2.0,37.0,1.0,13.0,1.0,49.4
31608,3.0,2.0,66.0,1.0,26.0,0.0,32.37
45858,5.0,3.0,14.0,0.0,26.0,2.0,13.26
81963,5.0,2.0,24.0,0.0,14.0,1.0,20.08
47558,4.0,1.0,26.0,1.0,0.0,0.0,18.89
64364,3.0,2.0,61.0,0.0,6.0,1.0,36.17
64287,5.0,3.0,44.0,1.0,21.0,1.0,48.3
95591,4.0,1.0,49.0,1.0,7.0,2.0,17.61
31396,5.0,1.0,83.0,0.0,12.0,1.0,46.54
86967,3.0,3.0,26.0,0.0,25.0,0.0,41.7
69364,5.0,2.0,73.0,0.0,16.0,0.0,26.79
79347,5.0,1.0,32.0,1.0,7.0,2.0,24.05
78102,4.0,1.0,80.0,1.0,18.0,1.0,18.19
71229,5.0,1.0,24.0,1.0,11.0,2.0,47.13
57099,3.0,3.0,65.0,0.0,1.0,2.0,17.37
14891,3.0,1.0,80.0,1.0,5.0,2.0,25.97
