citizenid,employment_status,annual_income
99610,Private Job,60427.52
22456,Self-Employed,57145.27
63403,Government Job,46413.25
72905,Private Job,55085.97
76339,Private Job,47270.89
11966,Private Job,65133.81
98332,Private Job,75936.81
18341,Self-Employed,73000.56
90680,Private Job,45782.24
16606,Government Job,56074.59
33822,Private Job,119162.41
78966,Self-Employed,25650.03
65136,Self-Employed,78086.97
49375,Private Job,39969.15
70239,Private Job,51906.58
73325,Private Job,34305.58
39660,Private Job,66364.62
30475,Private Job,58263.16
57943,Private Job,47252.18
96435,Private Job,57646.81
92392,Private Job,35292.93
28093,Private Job,72313.94
44534,Private Job,41223.51
34954,Private Job,62516.5
20365,Private Job,79863.4
50550,Government Job,27353.72
21746,Private Job,48639.57
73096,Private Job,33229.98
36135,Private Job,80428.12
71241,Private Job,46964.72
82481,Private Job,38013.8
24664,Private Job,66265.07
23943,Private Job,58134.76
15711,Self-Employed,74833.14
60980,Self-Employed,70937.16
37753,Self-Employed,84454.86
14199,Private Job,30522.47
77898,Private Job,29896.64
82360,Private Job,80349.0
33561,Private Job,83299.67
34724,Private Job,49804.7
39261,Private Job,52808.06
19146,Private Job,47490.6
71712,Self-Employed,72438.9
36217,Private Job,72017.98
36969,Private Job,38445.6
50859,Private Job,48417.54
43480,Private Job,37958.64
34199,Private Job,27844.07
97038,Private Job,28423.41
24943,Self-Employed,33956.21
38112,Government Job,26822.8
97810,Self-Employed,50813.69
70756,Self-Employed,28905.19
71935,Private Job,76692.09
14645,Self-Employed,68437.0
21436,Private Job,72802.21
21863,Private Job,62666.29
74737,Private Job,65496.52
99303,Private Job,31918.01
57228,Private Job,28548.23
66380,Private Job,85342.06
47657,Self-Employed,47749.91
44516,Private Job,28127.47
31608,Private Job,34738.41
45858,Private Job,78326.57
81963,Private Job,107684.95
47558,Self-Employed,109035.73
64364,Private Job,37553.72
64287,Self-Employed,152028.4
95591,Government Job,53489.57
31396,Private Job,65715.93
86967,Private Job,125765.47
69364,Self-Employed,83917.93
79347,Government Job,25859.64
78102,Government Job,54742.54
71229,Government Job,85757.94
57099,Private Job,32425.04
14891,Private Job,112319.46
69375,Private Job,5168521.6
21550,Self-Employed,32546.74
50417,Private Job,30309.58
58827,Private Job,55978.49
59583,Private Job,46253.08
42289,Private Job,133667.51
35400,Private Job,68691.5
95847,Government Job,59849.1
49461,Private Job,60431.24
92748,Self-Employed,89181.87
79555,Private Job,56174.6
91235,Private Job,85515.96
98437,Government Job,57881.99
41591,Government Job,29414.14
53384,Private Job,44653.87
14492,Government Job,72621.32
45736,Private Job,63335.77
32767,Private Job,66720.81
83811,Private Job,81230.18
91445,Private Job,52070.6
82563,Private Job,134129.08
14643,Private Job,26190.85
20238,Private Job,85395.49
56046,Private Job,52729.24
27635,Private Job,30954.31
52601,Self-Employed,58463.63
37607,Private Job,61002.39
99821,Private Job,59424.34
99035,Government Job,83859.99
15641,Private Job,44497.76
55408,Private Job,141913.48
98365,Private Job,27105.3
24085,Private Job,81104.89
68711,Self-Employed,36665.55
13233,Self-Employed,70716.41
20942,Private Job,37444.59
12913,Self-Employed,75567.5
72746,Self-Employed,80289.33
73338,Private Job,31426.76
40417,Self-Employed,33983.75
23393,Private Job,81442.61
76256,Self-Employed,72012.97
63652,Self-Employed,27372.71
50279,Private Job,36114.17
39366,Private Job,50136.65
64996,Private Job,77716.1
44938,Private Job,34214.51
29794,Self-Employed,69172.55
42051,Self-Employed,30106.57
62922,Private Job,174187.32
48984,Private Job,53497.31
73476,Private Job,69468.64
66891,Private Job,28947.52
61398,Private Job,37458.56
25463,Private Job,73300.35
38021,Self-Employed,34974.63
72795,Private Job,65719.68
70969,Private Job,64173.39
84203,Government Job,56744.02
43101,Private Job,37304.34
96294,Self-Employed,50433.35
38863,Self-Employed,62927.85
58060,Private Job,78785.18
36871,Private Job,73669.16
86096,Private Job,62048.02
94493,Private Job,38936.73
81021,Private Job,38218.66
95874,Private Job,74647.12
60265,Private Job,65529.75
45412,Private Job,46841.69
33313,Private Job,84260.36
11956,Self-Employed,79275.41
60793,Private Job,65962.21
22725,Private Job,47523.01
21930,Private Job,43834.15
26898,Self-Employed,82302.41
39459,Private Job,52051.44
57056,Private Job,73801.05
79282,Government Job,150836.09
46830,Private Job,82323.05
59053,Government Job,55012.41
72930,Private Job,64839.61
38046,Private Job,30261.58
17726,Private Job,64807.47
66665,Private Job,38120.1
99469,Private Job,128905.07
11738,Self-Employed,138112.42
84513,Private Job,65902.04
70318,Private Job,31163.78
64990,Private Job,55207.7
26269,Private Job,178281.41
50623,Private Job,56782.03
53486,Private Job,54494.68
44917,Private Job,71160.17
78090,Private Job,71025.76
61858,Private Job,68089.05
44144,Private Job,63529.46
94529,Private Job,80167.92
58915,Private Job,60113.97
41091,Self-Employed,46247.61
18774,Private Job,28610.52
57722,Private Job,57684.71
77328,Private Job,38892.27
23800,Self-Employed,48604.71
21796,Self-Employed,28046.71
49085,Private Job,64093.48
55324,Private Job,79088.05
89248,Self-Employed,44833.6
76902,Private Job,74097.45
25351,Private Job,32704.6
71469,Private Job,69111.42
32657,Private Job,29865.37
81299,Self-Employed,40776.49
51683,Self-Employed,46974.72
53616,Private Job,34564.09
33692,Private Job,36254.34
38665,Private Job,67634.47
10347,Government Job,30841.84
53804,Self-Employed,81968.36
52698,Self-Employed,71870.13
75245,Government Job,46760.75
73164,Private Job,63354.41
80724,Private Job,68884.38
36779,Private Job,61263.54
13242,Self-Employed,62713.7
27146,Private Job,80874.1
71482,Private Job,78746.74
65933,Private Job,80742.1
51637,Private Job,78997.86
46284,Private Job,66809.0
27436,Private Job,54997.08
97141,Private Job,54730.4
39551,Private Job,72065.24
68211,Private Job,81361.21
22950,Private Job,30371.63
99804,Government Job,78486.4
54168,Private Job,76830.38
71219,Private Job,30343.0
63118,Government Job,65049.38
86093,Private Job,84285.3
25644,Self-Employed,76951.1
18768,Private Job,100732.3
34585,Private Job,28833.4
12449,Private Job,81436.4
84091,Private Job,35558.18
42480,Private Job,29421.02
47998,Private Job,38898.19
